X,Y,Z,ID,x,y,osm_id,code,fclass,name
92567.5137042548,439299.24941553,0,1,4.4792884,51.9386434,2432335353,2501,supermarket,Dirk
91906.5254143936,435678.613422433,0,2,4.4703414,51.906029,29535104,2724,memorial,Hendrik Tollens
91078.932133033,436005.411606257,0,3,4.4582558,51.9088716,1456898028,2722,museum,'40'45NU
90644.4480108823,436258.722122561,0,4,4.451895,51.9110981,2798489794,2501,supermarket,Supermarkt tromp
90625.3069448317,436238.673139786,0,5,4.4516206,51.9109157,2798490317,2501,supermarket,Markt Eastern Food
90603.9428901902,437313.956129319,0,6,4.4511089,51.9205771,2798545688,2501,supermarket,Saman Minimarkt
90547.4456051615,437293.843547081,0,7,4.4502915,51.9203898,2798545962,2501,supermarket,Stokrotka
92470.3527371431,438071.18734218,0,8,4.478099,51.9275955,3901034557,2082,school,Grafisch Lyceum Rotterdam
92361.6481967996,438174.725604689,0,9,4.4764999,51.9285138,3901037857,2082,school,Zadkine
91779.313450606,437904.042372278,0,10,4.4680841,51.9260152,1912221471,2501,supermarket,Centraal
91082.7593676311,436433.010453583,0,11,4.458232,51.912715,34044420,2501,supermarket,Albert Heijn
91067.0642629264,438434.515403624,0,12,4.4576319,51.9307013,34044421,2501,supermarket,Albert Heijn
90171.7778729904,437010.626139616,0,13,4.4448847,51.9178008,34044422,2501,supermarket,Albert Heijn
92445.925971933,436252.57730468,0,14,4.4780746,51.9112483,34044435,2501,supermarket,Albert Heijn
93221.7563158019,438135.692835572,0,15,4.4890106,51.9282592,34044436,2501,supermarket,Albert Heijn
91169.5585193252,438189.193971661,0,16,4.4591675,51.9285083,1468938870,2724,memorial,Capitulatie 14 mei 1940
91997.1743456235,438673.158295718,0,17,4.4711101,51.9329522,34045012,2501,supermarket,ALDI
93328.040210103,438939.412597438,0,18,4.4904115,51.9354943,34045015,2501,supermarket,ALDI
91505.7722338337,437133.617278616,0,19,4.46425,51.91906,34045021,2501,supermarket,ALDI
91972.1968327866,438658.752445363,0,20,4.4707496,51.9328199,34045486,2501,supermarket,Albert Heijn
88700.120223612,437034.029052524,0,21,4.4234916,51.9178377,839111802,2082,school,OBS Finlandia
88328.1693025542,437080.945610856,0,22,4.4180767,51.9182149,839117319,2501,supermarket,Dirk van den Broek
89061.9745674316,436919.132315389,0,23,4.4287727,51.9168481,839132209,2082,school,PCBS Prinses Margriet
89114.593672775,437244.08952658,0,24,4.4294752,51.9197748,840558626,2253,swimming_pool,Zwembad West
89114.593672775,437244.08952658,0,25,4.4294752,51.9197748,840558626,2251,sports_centre,Zwembad West
88385.3980913771,437123.555578856,0,26,4.4189002,51.9186047,847650889,2110,hospital,"Medisch Centrum ""De Boei"""
89175.5074673133,436964.692072153,0,27,4.430414,51.917271,1479179447,2082,school,Duo2002
93532.4723379865,437436.68584244,0,28,4.4936525,51.9220114,3367958635,2501,supermarket,Albert Heijn
91044.9461431229,437856.25847791,0,29,4.4574179,51.9255018,1933475043,2251,sports_centre,Sportcomplex Nenijto
90958.3557728939,436600.391597362,0,30,4.456393,51.914205,1482481129,2084,college,Albeda
89565.8192857247,436098.071220387,0,31,4.4362514,51.9095285,1482519194,2501,supermarket,Albert Heijn
90798.9425494111,435729.314241703,0,32,4.4542388,51.906358,1482575921,2082,school,Delfshaven
90777.0187227502,435684.532101962,0,33,4.4539286,51.905953,1482575937,2083,kindergarten,
89266.1005126335,436951.794806486,0,34,4.4317331,51.9171658,1482705503,2082,school,De Starrenburg
89572.6750210553,436853.462524195,0,35,4.4362074,51.9163182,1483272467,2723,monument,40-45
92991.4974130812,436820.879970401,0,36,4.4859003,51.9164169,1935316596,2501,supermarket,Spar van der Kreeken
89149.8657247637,437231.84147048,0,37,4.4299902,51.9196689,34049767,2251,sports_centre,Sportcentrum West
95900.1160015902,436956.729592733,0,38,4.5281495,51.9179544,34049769,2251,sports_centre,Sportcentrum Woudestein (Erasmus Universiteit)
90665.034633698,435305.545433849,0,39,4.4523723,51.902534,34050516,2721,attraction,Scheepswerf De Delft
93775.9161291357,437537.366500353,0,40,4.4971731,51.9229431,34050657,2722,museum,Openbaar Vervoer Museum
95732.2457298037,436780.634458103,0,41,4.52574,51.9163539,3951587362,2501,supermarket,Spar University
92080.9377846862,437546.327024431,0,42,4.4725341,51.9228345,34051012,2721,attraction,Holland Casino
92057.2850580636,436742.881387798,0,43,4.4723373,51.915611,34051015,2722,museum,Sonneveldhuis
93384.2563671593,437071.80631861,0,44,4.4915635,51.9187157,34051036,2722,museum,Mariniersmuseum
93293.1600333914,437256.83250314,0,45,4.4902063,51.9203685,34051054,2721,attraction,Kubuswoningen
92823.8984698773,438356.017818188,0,46,4.483187,51.930195,1949005113,2120,doctors,GC Noordplein
92682.1906966143,438642.183105407,0,47,4.481075,51.932751,1949076306,2501,supermarket,Gazi
92150.558443819,437674.755735327,0,48,4.4735226,51.9239966,4354656391,2501,supermarket,unilever
92082.1106472836,437353.062191192,0,49,4.4725865,51.9210977,4354656494,2501,supermarket,Albert heijn
92542.9336874663,438875.469882744,0,50,4.479008,51.934832,1949117231,2082,school,Het Plein
91916.699790343,437726.937281132,0,51,4.4701137,51.9244391,4355268564,2501,supermarket,Albert Heijn to go
92343.3862907594,438923.253703108,0,52,4.476098,51.935239,1949150379,2120,doctors,Steffens & Balvert
92347.5508702631,438986.624256861,0,53,4.476147,51.935809,1949154008,2501,supermarket,Sahan
92549.0661845737,438914.893361829,0,54,4.47909,51.935187,1949162567,2007,library,Oude Noorden
92580.3240626038,437209.724444063,0,55,4.479854,51.9198656,4355444594,2501,supermarket,Albert Heijn to gol
92867.4702588401,438701.518741675,0,56,4.483758,51.933305,1949208856,2082,school,Prinses Julianaschool
92929.1488652875,438622.531128576,0,57,4.484669,51.932602,1949254554,2251,sports_centre,Snelleman
93003.2364122091,437563.901319671,0,58,4.485937,51.923096,1949306625,2501,supermarket,Jumbo
93138.4825458789,437966.305249575,0,59,4.4878305,51.9267276,1950478811,2082,school,Rudolf Steiner College
91430.4290791101,436906.030004422,0,60,4.463197,51.917006,1498651815,2723,monument,Van 't Hoff
93067.5765879561,438707.202163989,0,61,4.4866663,51.9333784,1962361863,2504,mall,Garage C
91737.7710799618,437214.216541277,0,62,4.4676071,51.9198108,2502444187,2082,school,Augustinusschool
91992.9521932988,437271.123491961,0,63,4.4713056,51.9203512,2502444191,2012,community_centre,Goethe-Institut Niederlande
91806.3411214668,437257.378146875,0,64,4.4685958,51.9202065,2502444194,2501,supermarket,May Fung
91877.3990201828,437273.170732242,0,65,4.4696257,51.9203565,2502444196,2501,supermarket,Oriental Rotterdam
91992.4471087897,437277.449873646,0,66,4.4712971,51.920408,2502444198,2012,community_centre,Pauluskerk
91717.5803035162,437268.781958325,0,67,4.4673036,51.9202989,2502444199,2501,supermarket,Shang Hai
91959.7450767543,437310.663871823,0,68,4.4708157,51.9207028,2502444203,2501,supermarket,Wah Nam Hong
91265.4979422549,436484.754461267,0,69,4.460878,51.913201,1498833526,2501,supermarket,Ekoplaza
92219.5018767432,437046.583715338,0,70,4.4746394,51.9183588,1498937188,2082,school,Piet Zwart Institute
92891.5446654312,436360.727596831,0,71,4.4845307,51.9122702,1500029717,2723,monument,De Boeg
91881.5142807977,435362.739562015,0,72,4.4700359,51.9031873,1500033338,2724,memorial,Herdenking van strijd en verzet 1940-1945
91557.169261272,438597.809938159,0,73,4.4647269,51.932225,205455153,2253,swimming_pool,Van Maanenbad
91557.169261272,438597.809938159,0,74,4.4647269,51.932225,205455153,2253,swimming_pool,Van Maanenbad
92722.2999988685,437105.064843569,0,75,4.4819365,51.9189409,206395234,2722,museum,Het Schielandshuis
90681.5951488841,437865.548965645,0,76,4.4521344,51.9255434,877015443,2721,attraction,Mensenapen
92859.1548506093,437589.312228045,0,77,4.4838381,51.9233083,1974983358,2501,supermarket,Marqt
95655.8679607373,436782.730849713,0,78,4.5246296,51.9163646,4003292177,2007,library,Rotterdamsch Leescabinet
95758.1277613131,436886.086576526,0,79,4.526098,51.9173044,4003342397,2201,theatre,Erasmus Paviljoen
88264.0814056819,437030.739120463,0,80,4.417155,51.917756,1978989117,2501,supermarket,Grab 'n Go
93578.7424407425,437679.425545327,0,81,4.4942817,51.9241981,1984913268,2501,supermarket,Dirk Supermarket
94933.148005232,437179.926032223,0,82,4.5140566,51.9198568,1985339250,2723,monument,WO2
96092.8471139793,437381.084263474,0,83,4.530878,51.9217887,1985339251,2723,monument,WO2
