Longitude,Latitude,Lat,long,Adres,City,Type Lader,
4.45867E+14,5.1903E+14,51.90299988,4.458670139,Schiehavenkade Rotterdam,Rotterdam,Stopcontact NewMotion 01000497 mennekes,"51.9029998779297,4.45867013931274"
4458671,519029813,51.9029813,4.458671,Schiehavenkade Rotterdam,Rotterdam,Stopcontact NewMotion 01000501 mennekes,"51.9029813,4.458671"
4.45868E+12,5.19012E+13,51.90122044,4.458676364,Schiehavenkade 120 Rotterdam,Rotterdam,Krachtstroom Q-Park Schiecentrale mennekes,"51.901220441934,4.458676364418"
445907,5192103,51.92103,4.45907,Beatrijsstraat 8 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250084 mennekes,"51.92103,4.45907"
445907,5192103,51.92103,4.45907,Beatrijsstraat 8 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250084 mennekes,"51.92103,4.45907"
445916,519302,51.9302,4.45916,Stadhoudersweg 103 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309126 mennekes,"51.9302,4.45916"
445916,519302,51.9302,4.45916,Stadhoudersweg 103 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309126 mennekes,"51.9302,4.45916"
4460234,5190319,51.90319,4.460234,Lloydstraat 13 Rotterdam,Rotterdam,Krachtstroom E-laad AL748 mennekes,"51.90319,4.460234"
446041,5188547,51.88547,4.46041,Schulpplein 36 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250079 mennekes,"51.88547,4.46041"
446041,5188547,51.88547,4.46041,Schulpplein 36 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250079 mennekes,"51.88547,4.46041"
4460975,51910864,51.910864,4.460975,Rochussenstraat 230-398 Rotterdam,Rotterdam,Krachtstroom Essent EM-NL-00000599-01-00005 mennekes,"51.910864,4.460975"
4460975,51910864,51.910864,4.460975,Rochussenstraat 230-398 Rotterdam,Rotterdam,Krachtstroom Essent EM-NL-00000599-01-00005 mennekes,"51.910864,4.460975"
446317,5192751,51.92751,4.46317,Lumeystraat 18 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309012 mennekes,"51.92751,4.46317"
446317,5192751,51.92751,4.46317,Lumeystraat 18 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309012 mennekes,"51.92751,4.46317"
44634,5192018,51.92018,4.4634,Henegouwerlaan 63- Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1306040 mennekes,"51.92018,4.4634"
44634,5192018,51.92018,4.4634,Henegouwerlaan 63- Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1306040 mennekes,"51.92018,4.4634"
4463456,51916648,51.916648,4.463456,'s-Gravendijkwal 66 Rotterdam,Rotterdam,Krachtstroom E-laad REE094 mennekes,"51.916648,4.463456"
4464191581,51936760687,51.93676069,4.464191581,Talmastraat 29d Rotterdam,Rotterdam,Krachtstroom E-laad REE241 mennekes,"51.936760687,4.464191581"
446527,5189414,51.89414,4.46527,Grondherenstraat 19 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250004 mennekes,"51.89414,4.46527"
446527,5189414,51.89414,4.46527,Grondherenstraat 19 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250004 mennekes,"51.89414,4.46527"
446602,5190542,51.90542,4.46602,Parkhaven 9 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247093 mennekes,"51.90542,4.46602"
446602,5190542,51.90542,4.46602,Parkhaven 9 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247093 mennekes,"51.90542,4.46602"
446725,5191475,51.91475,4.46725,Breitnerstraat 65 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250091 mennekes,"51.91475,4.46725"
446725,5191475,51.91475,4.46725,Breitnerstraat 65 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250091 mennekes,"51.91475,4.46725"
446815,5192971,51.92971,4.46815,Walenburgerweg 36 Rotterdam,Rotterdam,Stopcontact Fa H.T. Frensch schuko,"51.92971,4.46815"
446842,5191811,51.91811,4.46842,Josephstraat 60 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309127 mennekes,"51.91811,4.46842"
446842,5191811,51.91811,4.46842,Josephstraat 60 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309127 mennekes,"51.91811,4.46842"
4.46869E+14,5.19234E+14,51.92337707,4.468686677,Stationsplein 45 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247055 mennekes,"51.9233770669797,4.46868667724607"
4.46869E+14,5.19234E+14,51.92337707,4.468686677,Stationsplein 45 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247055 mennekes,"51.9233770669797,4.46868667724607"
446889,5193662,51.93662,4.46889,Bergsingel 95 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247012 mennekes,"51.93662,4.46889"
446889,5193662,51.93662,4.46889,Bergsingel 95 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247012 mennekes,"51.93662,4.46889"
447048,5193274,51.93274,4.47048,Bergweg 304 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250078 mennekes,"51.93274,4.47048"
447048,5193274,51.93274,4.47048,Bergweg 304 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250078 mennekes,"51.93274,4.47048"
447067,5192629,51.92629,4.47067,Proveniersplein 4 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247009 mennekes,"51.92629,4.47067"
447067,5192629,51.92629,4.47067,Proveniersplein 4 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247009 mennekes,"51.92629,4.47067"
447128,519244,51.9244,4.47128,Delftseplein 54 Rotterdam,Rotterdam,Krachtstroom Essent EM-NL-00000599-01-00004 mennekes,"51.9244,4.47128"
447128,519244,51.9244,4.47128,Delftseplein 54 Rotterdam,Rotterdam,Krachtstroom Essent EM-NL-00000599-01-00004 mennekes,"51.9244,4.47128"
447138,5194282,51.94282,4.47138,Lathyrusplein 1 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247065 mennekes,"51.94282,4.47138"
447138,5194282,51.94282,4.47138,Lathyrusplein 1 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247065 mennekes,"51.94282,4.47138"
4472025263,51917889062,51.91788906,4.472025263,Westersingel 41 Rotterdam,Rotterdam,Krachtstroom E-laad AL718 mennekes,"51.917889062,4.472025263"
4.47242E+14,5.19171E+14,51.91709059,4.472419601,Westersingel 51 Rotterdam,Rotterdam,Stopcontact EV-Box 11082866 mennekes,"51.9170905919178,4.47241960067754"
4.47242E+14,5.19171E+14,51.91709059,4.472419601,Westersingel 51 Rotterdam,Rotterdam,Stopcontact EV-Box 11082866 mennekes,"51.9170905919178,4.47241960067754"
4472954,51924628,51.924628,4.472954,Delftseplein 31 Rotterdam,Rotterdam,Krachtstroom E-laad REE050 mennekes,"51.924628,4.472954"
447326,5190723,51.90723,4.47326,Kievitslaan 31 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247010 mennekes,"51.90723,4.47326"
447326,5190723,51.90723,4.47326,Kievitslaan 31 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247010 mennekes,"51.90723,4.47326"
447358,5192075,51.92075,4.47358,Schouwburgplein 911 Rotterdam,Rotterdam,Krachtstroom EV-Box 11072617 mennekes,"51.92075,4.47358"
447358,5192075,51.92075,4.47358,Schouwburgplein 911 Rotterdam,Rotterdam,Krachtstroom EV-Box 11072617 mennekes,"51.92075,4.47358"
4.47366E+13,5.19228E+12,51.92282213,4.473661132,Karel Doormanstraat 10 Rotterdam,Rotterdam,Krachtstroom Q-Park Weena mennekes,"51.92282212925,4.4736611318772"
